fecha,proveedor,producto_sku,producto_nombre,cantidad,costo,total
2025-01-01,Distribuciones Norte SA,ELECT-001,Laptop ProBook X15,10,12000,120000.0
2025-01-02,Importaciones GlobalTech,ELECT-002,Tablet Samsung Galaxy Tab A8,20,3500,70000.0
2025-01-02,Mayorista ElectroPro MX,ELECT-003,Smartphone Redmi Note 13 Pro,21,2800,58800.0
2025-01-03,Distribuciones Norte SA,ELECT-004,"Monitor LED Full HD 27""",26,2900,75400.0
2025-01-07,Proveedor Central Electrónico,ACESS-001,Mouse Inalámbrico Logitech M310,84,280,23520.0
2025-01-13,Importaciones GlobalTech,ACESS-002,Teclado Mecánico Redragon K552,17,550,9350.0
2025-01-19,Importaciones GlobalTech,ACESS-003,Hub USB-C 7 en 1,1533,350,536550.0
2025-01-23,Importaciones GlobalTech,ACESS-004,Cable HDMI 4K 2m,557,80,44560.0
2025-01-24,Proveedor Central Electrónico,ACESS-005,"Mochila Laptop 15.6""",184,450,82800.0
2025-01-31,Distribuciones Norte SA,COMP-001,SSD Samsung 870 EVO 1TB,190,900,171000.0
2025-02-02,Proveedor Central Electrónico,COMP-002,Memoria RAM DDR4 16GB 3200MHz,594,420,249480.0
2025-02-05,Distribuciones Norte SA,COMP-003,Tarjeta Gráfica RTX 3060 12GB,23,5800,133400.0
2025-02-10,Distribuidora TecnoMax SA de CV,COMP-004,Fuente de Poder 650W 80Plus,37,700,25900.0
2025-02-11,Distribuciones Norte SA,AUDIO-001,Audífonos Sony WH-1000XM5,50,4000,200000.0
2025-02-16,Distribuciones Norte SA,AUDIO-002,Bocina JBL Charge 5,84,1300,109200.0
2025-02-23,Mayorista ElectroPro MX,AUDIO-003,Micrófono USB Blue Yeti,19,1700,32300.0
2025-02-23,Distribuidora TecnoMax SA de CV,AUDIO-004,Audífonos Gamer HyperX Cloud II,50,1100,55000.0
2025-02-23,Distribuciones Norte SA,SMART-001,Foco Inteligente Philips Hue E27,50,220,11000.0
2025-02-24,Proveedor Central Electrónico,SMART-002,Enchufe Inteligente WiFi 15A,266,150,39900.0
2025-02-24,Distribuidora TecnoMax SA de CV,SMART-003,Cámara IP Indoor 1080p WiFi,271,420,113820.0
2025-03-07,Mayorista ElectroPro MX,ELECT-001,Laptop ProBook X15,6,12000,72000.0
2025-03-09,Distribuidora TecnoMax SA de CV,ELECT-002,Tablet Samsung Galaxy Tab A8,49,3500,171500.0
2025-03-10,Distribuciones Norte SA,ELECT-003,Smartphone Redmi Note 13 Pro,119,2800,333200.0
2025-03-15,Proveedor Central Electrónico,ELECT-004,"Monitor LED Full HD 27""",9,2900,26100.0
2025-03-16,Distribuidora TecnoMax SA de CV,ACESS-001,Mouse Inalámbrico Logitech M310,455,280,127400.0
2025-03-19,Distribuidora TecnoMax SA de CV,ACESS-002,Teclado Mecánico Redragon K552,435,550,239250.0
2025-03-21,Proveedor Central Electrónico,ACESS-003,Hub USB-C 7 en 1,357,350,124950.0
2025-03-26,Mayorista ElectroPro MX,ACESS-004,Cable HDMI 4K 2m,1227,80,98160.0
2025-03-27,Proveedor Central Electrónico,ACESS-005,"Mochila Laptop 15.6""",135,450,60750.0
2025-03-30,Importaciones GlobalTech,COMP-001,SSD Samsung 870 EVO 1TB,23,900,20700.0
2025-03-31,Proveedor Central Electrónico,COMP-002,Memoria RAM DDR4 16GB 3200MHz,113,420,47460.0
